Stock,annualized_vol,downside_vol,max_drawdown,vol_clustering,autocorr_1d,autocorr_5d,hurst,momentum_strength,beta_to_vnindex,skewness,kurtosis,var_5,cvar_5,limit_hit,trend_change_freq
LPB,0.41382916726629476,0.31261191168113395,-0.723781388478582,0.9495768082993831,0.02033504711560353,0.011863270250209682,,0.0007768805292641678,,-0.26542700418634807,5.121318734609623,-0.03738317757009335,-0.06282451422918021,0.028144744399770247,0.023536165327210104
LSS,0.441448286469844,0.2951780546073598,-0.7486772486772486,0.9524766267912016,0.04676147625360812,-0.005033641005403868,,0.0030183023104750246,,0.1113880767582372,0.9392386105030641,-0.046432266222196705,-0.06438008117728788,0.03026841804683038,0.01769406392694064
MBB,0.3548558113202011,0.32070818581281635,-0.6743383199079402,0.9401892844553666,-0.003914372208748357,0.014936396659184097,,-0.0011256783096079848,,-1.857697554152983,19.335104527875377,-0.03336044259435628,-0.059220058497208905,0.0074243289548829245,0.01997716894977169
MBS,0.5285409363001154,0.4138112643412794,-0.8034934497816594,0.9569953466974737,-0.03224225522527763,-0.01618431425055062,,0.0020059138732712208,,-0.3082413538114005,3.044646179176354,-0.05303643724696354,-0.08508523294899632,0.06693363844393593,0.023441966838193252
MCH,0.29891628218912575,0.22786841880082223,-0.53,0.9501044158055594,-0.030699581239323093,0.0024946422013332817,,0.001362873117007236,,0.07885587131274953,7.3018149715313,-0.026097965960979685,-0.04296788877742626,0.011527377521613832,0.019009216589861752
MFS,0.4599451335429799,0.3281890980745457,-0.6164199192462988,0.9631912532278943,0.022131769431873026,-0.050615549386278894,,0.004012304296315758,,0.7918825730438143,7.304516656173215,-0.03653632299207951,-0.06626416849361513,0.04452296819787986,0.026129943502824857
MIC,0.9559432480699114,0.8395731442629588,-0.6071428571428571,0.9523181361449273,-0.12601025172547026,-0.05000240709484877,,0.00686616115113188,,0.26869021046266517,4.595207944189255,-0.11428919182083741,-0.14432973954595205,0.20046082949308755,0.02936096718480138
MIG,0.5553606259706474,0.6616709043712372,-1.0,0.8230451561370563,-0.031997850738101845,0.001913469787928887,,-0.0006471643788839333,,-13.383830192628361,382.4038633638898,-0.04225352112676062,-0.07265540961095293,0.025847214244686962,0.021814006888633754
MKV,0.3755827690700221,0.49585960951573105,-0.7638888888888888,0.9529463508358746,-0.0380774641533841,-0.006555737064935423,,0.0064308425563827515,,0.08985613281063339,8.916307262182116,-0.03148026315789477,-0.06694929121056893,0.04979965655409273,0.017734553775743706
MLS,0.7025785009157048,0.6444558385778293,-0.8178506375227687,0.9524489791390558,-0.041068061186701275,0.007364319745546028,,0.007224773837889956,,0.32546797376906456,11.219020851871223,-0.0665560165975104,-0.1098101863025393,0.10873337189126663,0.024277456647398842
