stock_code,primary_class,confidence_score,annualized_volatility,max_drawdown,autocorr_1d,hurst_exponent,beta_to_vnindex,sample_size,date_range,composite_score
GEX,High_Risk,0.9053992455009556,0.457762769236861,-0.7843137254901961,0.0915814622698723,0.01764751229700665,1.28097446649932,1492,2018-01-04 to 2023-12-29,0.8631922164285178
HDC,High_Risk,0.9035600136009351,0.49239151759208577,-0.7730434782608695,0.10497734893276153,0.025843278683709045,1.1603379027597742,1497,2018-01-03 to 2023-12-29,0.9714953819120887
FCN,High_Risk,0.9026085821677504,0.46086668564412114,-0.8272222222222222,0.1292227974409779,0.023671192602263316,1.2444714089211628,1496,2018-01-03 to 2023-12-29,0.9319089130090646
KBC,High_Risk,0.9019153285461726,0.4311959179825264,-0.7753623188405797,0.09961386244920747,0.016374245417586374,1.195091488875417,1495,2018-01-03 to 2023-12-29,0.7690888241859823
NBB,High_Risk,0.9010371369954053,0.46852075798248777,-0.7998324958123953,0.08037669567332006,0.007340770253154381,0.6585306239129214,1496,2018-01-03 to 2023-12-29,0.8639875410789373
FTS,High_Risk,0.8958805931628813,0.4938328083891502,-0.822623828647925,0.10553286620301736,0.02501686577305252,1.2476273829430582,1496,2018-01-03 to 2023-12-29,0.9784516797157164
TCB,High_Risk,0.8902621321069899,0.4392606976850647,-0.863302752293578,0.04826398782247745,0.014479462779207326,1.3391061408642593,1398,2018-06-05 to 2023-12-29,0.6788562819771718
DGC,High_Risk,0.8891512326209797,0.4610082634245775,-0.8061224489795918,0.0572564713228306,-0.0029347746764336446,0.8828896607761022,1493,2018-01-03 to 2023-12-29,0.7279043958907541
BVB,High_Risk,0.8875014729889963,0.47009170091354663,-0.7234848484848484,0.08445655520943485,-0.00936379991761044,1.2811262557320153,862,2020-07-10 to 2023-12-29,0.6794104209608554
LAS,High_Risk,0.8871284228325542,0.48402208621276643,-0.7940074906367041,0.004285272336486618,-0.0026826363955484204,0.9411237757258546,1495,2018-01-03 to 2023-12-29,0.7354295981602399
DGW,High_Risk,0.8864211225476994,0.5463119510675962,-0.8301775147928994,0.09115500051407242,0.01644472686258427,1.2492650851023475,1497,2018-01-03 to 2023-12-29,0.9435115443841371
VGS,High_Risk,0.8809943288437565,0.5737372029927061,-0.874,0.09125723297547103,0.0082071520058593,1.1946176895303486,1485,2018-01-03 to 2023-12-29,0.9298397597008943
BSI,High_Risk,0.8799786288882022,0.4876733645589561,-0.7687140115163148,0.09369151675131158,0.02286593383085622,1.2390960958874586,1491,2018-01-03 to 2023-12-29,0.9337692217892887
