symbol,volatility,max_drawdown,autocorr,hurst,days,norm_vol,norm_dd,norm_autocorr,norm_hurst,composite_score,risk_class
BBY,0.3845297089256414,0.6751413629879582,0.0004309097231948936,1.0151653467166706,1509,0.2933217893979132,0.5310009342394562,0.722617686887288,0.6852602062330998,0.4896785540317697,High
BDX,0.24518699061998625,0.340286642428153,-0.0459806189598587,1.0164860236297573,1509,0.06787648529679459,0.0,0.5626550497553754,0.7140985111528118,0.2110914551850741,Low
BEN,0.360765072867125,0.6253241224020798,0.009249215343530636,1.0104029622888075,1509,0.25487252080167105,0.45200249202514464,0.7530109848908318,0.5812687659991571,0.4462788295062939,High
BIIB,0.45407287399532487,0.4774420409947092,-0.050772337420801464,1.005545116575476,1509,0.40583703373883534,0.21749624629173744,0.5461398445217683,0.4751928328577609,0.38433093957318515,Medium
BK,0.3098753751686247,0.5925978912382861,-0.11035852053393727,1.0086747330179129,1509,0.17253708546097282,0.40010637632141755,0.3407692554059968,0.5435311466076379,0.31155371282277755,Low
BKNG,0.35364173671065446,0.6769405178378307,-0.005290077090183152,0.9958063022924406,1509,0.24334753617716184,0.5338539712356991,0.7028996520879085,0.2625360558158891,0.4243287418407451,Medium
BKR,0.4393451115380508,0.775753139890665,-0.005910443239982704,1.0158180512906785,1509,0.3820086993537838,0.6905475801446235,0.7007614892623099,0.6995126652116835,0.5700713181585308,High
BLK,0.3104968288599448,0.6737901240960273,-0.060563686969365906,1.012783521236222,1509,0.17354254751975867,0.528858186743478,0.5123928394281692,0.6332506581066168,0.3938781087272424,Medium
BMY,0.23898091025667303,0.5232340028102543,-0.032702703464085436,1.0147147011423494,1509,0.05783554672608247,0.2901115418565171,0.6084189028019593,0.6754199081600315,0.29939345262378314,Low
BR,0.2602846915383912,0.6161320070263225,-0.07957126065786903,1.018299107767474,1509,0.09230335033979842,0.4374259561351803,0.4468810646823763,0.7536890216633362,0.3328942420792823,Low
BSX,0.2931128286624801,0.5640892550716633,-0.06877885647307731,1.0065982418006114,1509,0.14541663424157433,0.3548983756306649,0.48407831897197984,0.49818887834030956,0.3112707180142561,Low
C,0.37261491772739186,0.5777746618962376,-0.08736864820421165,1.0144553909512657,1509,0.27404461612576175,0.3766002163487745,0.42000647748292624,0.6697576100724673,0.37357496785876904,Medium
CAG,0.2855371082820392,0.55238788630962,0.047550098050446486,1.005009062894812,1509,0.1331597283499643,0.33634275325766133,0.8850193538484221,0.46348756312589895,0.3775193443995584,Medium
